urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.hellenica.e_libro_secundo:1,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:1
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.hellenica.e_libris_tertio_et_quarto:2,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:2
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.hellenica.e_libris_tertio_et_quarto:2,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:2
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.hellenica.e_libris_tertio_et_quarto:3,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:3
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.hellenica.e_libris_tertio_et_quarto:3,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:3
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.hellenica.e_libro_sexto:4,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:4
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.annales_cyzicenorum:5,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:5
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.annales_cyzicenorum:6,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:6
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_rebus_attali.e_libro_primo:7,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:7
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.epicharmus:8,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:8
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.sophocles:9,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:9
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.periander:10,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:10
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.heraclitus:11,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:11
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.plato:12,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:12
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.plato:13,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:13
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.plato:14,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:14
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.antisthenes:15,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:15
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.timon:16,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:16
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.de_pythagora_et_de_pythagoreis:17,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:17
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.de_pythagora_et_de_pythagoreis:18,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:18
urn:lofts:fhg.neanthes_cyzicenus_lysimachus.neanthis_cyziceni_fragmenta.de_viris_illustribus.de_pythagora_et_de_pythagoreis:19,urn:cite:lofts:fhg.neanthes_cyzicenus_lysimachus:19
